position,title
Q21272959,Member of the Althing
Q54666261,Member of the 1999-2003 Parliament of Iceland
Q33088857,Member of the 2003-2007 Parliament of Iceland
Q33083755,Member of the 2007-2009 Parliament of Iceland
Q33083156,Member of the 2009-2013 Parliament of Iceland
Q33083139,Member of the 2013-2016 Parliament of Iceland
Q33082474,Member of the 2016-2017 Parliament of Iceland
Q52474426,Member of the 2017–2021 Parliament of Iceland
Q108856016,Member of the 2021– Parliament of Iceland
